@relation slike

@attribute id string
@attribute link string
@attribute title string
@attribute tags string
@attribute cluster string

@data
27518562284,https://farm8.staticflickr.com/7435/27518562284_f6f200f4b0_q.jpg,'Dartmouth - SCAT @ Petsmart Adoption Centre (July 4 2016)',kitten#SCAT#Petsmart#Adoption#animal#pet#indoor,'Klaster 1'
27518278063,https://farm8.staticflickr.com/7465/27518278063_84e333d6b2_q.jpg,'Dartmouth - SCAT @ Petsmart Adoption Centre (July 4 2016)',kitten#SCAT#Petsmart#Adoption#animal#pet#indoor,'Klaster 1'
27518554524,https://farm8.staticflickr.com/7421/27518554524_1d90e04144_q.jpg,'Dartmouth - SCAT @ Petsmart Adoption Centre (July 4 2016)',kitten#SCAT#Petsmart#Adoption#animal#pet#indoor,'Klaster 1'
27848793290,https://farm8.staticflickr.com/7227/27848793290_53cb7cb6f5_q.jpg,'cat #1333',americanshorthair#beautiful#cute#kitty#pretty#pet#animal#japan#japanese#sony#?#???,'Klaster 3'
28051360381,https://farm8.staticflickr.com/7388/28051360381_4e9e843670_q.jpg,Cat,2016#??#Cat,'Klaster 1'
27512542513,https://farm8.staticflickr.com/7501/27512542513_00a3fa8766_q.jpg,'Cat and God Kat',pet#statue#god#egyptian_god#Kat,'Klaster 1'
28127624925,https://farm8.staticflickr.com/7434/28127624925_6864ff8566_q.jpg,'Today\'s Cat@2016-07-05',PENTAX#MX-1,'Klaster 1'
28122552845,https://farm8.staticflickr.com/7577/28122552845_993e29ff7e_q.jpg,'Cat on Stone',ZEEVVEEZ#Canon#Cat,'Klaster 1'
27506805173,https://farm8.staticflickr.com/7360/27506805173_b4d239d6c4_q.jpg,'Sunny morning at the shopping centre Shadow Cat Contrast Light And Shadow Black & White',Shadow#Cat#Contrast#LightAndShadow#Black&White,'Klaster 1'
28116091175,https://farm8.staticflickr.com/7308/28116091175_f30dfb9397_q.jpg,'Looks like the cat got it\'s tail caught in a door.','nature#bird#animal#animal eyes#flower#color#animal planet#eyes#canon powershot#canon#global#random#hoosiers#outdoor#marion county#midwest#america#usa#indiana#indianapolis#indy','Klaster 1'
